Year,Country,Customer Name,Email,Phone Number,Job Requested,Response Time,Event Participation,Page Accessed,Sales Revenue,Payment Method,Resolution Status,Satisfaction Rating
2023,Spain,Ronald Jackson,wsullivan@example.net,001-918-397-8314x975,Scheduled Demo,"(10,)",Yes,/index.html,384.2106402500094,PayPal,Pending,3
2022,Brazil,Michael Pruitt,dianeray@example.net,51 1543 2885,Chatting with Sales Representative,"(13,)",No,/index.html,144.38741283045744,Credit Card,Resolved,7
2022,Australia,Randall Cross,erintaylor@example.com,1414-7743,Inquiring about Events,"(51,)",Yes,/event.php,176.57851365389917,PayPal,Pending,5
2024,Germany,Chase Brennan,curtisclements@example.com,0569444878,Prototyping solutions,"(54,)",No,/prototype.php,268.34023073574417,Credit Card,Failed,6
2025,Australia,Jonathan Thomas,cartergregory@example.org,(08)-0296-2383,Scheduled Demo,"(2,)",No,/event.php,340.04985871651536,Debit Card,Pending,7
2024,Russia,James King,mathisbrian@example.com,8 877 420 7975,Prototyping solutions,"(59,)",No,/scheduledemo.php,321.8016220970169,Debit Card,Pending,4
2023,USA,Amber Bautista,jodyryan@example.org,8243134309,Inquiring about Events,"(5,)",No,/index.html,382.23014262099485,Credit Card,Resolved,6
2025,India,Matthew Sullivan,reyesmelissa@example.org,05295475238,Chatting with Sales Representative,"(48,)",No,/images/events.jpg,152.45007199570546,Credit Card,Resolved,5
2025,Zambia,Kristen Gregory,anthony12@example.org,+1-379-701-8172x29050,Inquiring about Events,"(20,)",No,/prototype.php,233.62699079478625,Bank Transfer,Resolved,5
2023,Netherlands,Joseph Turner,andrew24@example.net,213.617.6637x0429,AI-Powered Virtual Assistant,"(59,)",Yes,/event.php,102.87695634868169,Debit Card,Failed,4
2022,UK,Kimberly Davis,andreamendoza@example.org,743.388.7587x0758,Software Assistance,"(21,)",Yes,/scheduledemo.php,343.57179262641165,Credit Card,Pending,3
2025,UK,Chloe Murillo,justin73@example.com,657.529.0897x7089,Inquiring about Events,"(5,)",No,/index.html,111.83069664288365,Credit Card,Pending,6
2025,Canada,Casey Rivera,emilyolson@example.org,120-034-3511,AI-Powered Virtual Assistant,"(42,)",No,/images/events.jpg,410.3625013291617,Credit Card,Pending,7
2024,Zimbabwe,Yesenia Bates,watsonmason@example.net,4124118387,AI-Powered Virtual Assistant,"(28,)",No,/images/events.jpg,158.1793177127032,PayPal,Pending,7
2024,India,Tara Pierce,uhoffman@example.org,2884394647,Inquiring about Events,"(5,)",Yes,/scheduledemo.php,189.4693006063551,Bank Transfer,Failed,6
2024,Canada,Christina Gill,bbailey@example.com,+1 (661) 916-7574,Prototyping solutions,"(14,)",No,/index.html,436.58325757962746,Bank Transfer,Resolved,6
2025,Zambia,Wendy Warren,amy39@example.com,584.665.1236x8669,Software Assistance,"(25,)",Yes,/index.html,128.18210757757566,Debit Card,Resolved,6
2024,India,Michael Atkinson,jonathanjones@example.org,+913894139900,Scheduled Demo,"(60,)",Yes,/event.php,292.3059635772394,Bank Transfer,Failed,7
2022,Canada,Dr. Brian Cox,osmith@example.net,1-892-641-2053,Prototyping solutions,"(8,)",No,/scheduledemo.php,304.93564605861417,Debit Card,Failed,7
2023,Spain,Gabriel Johnson,richardsoncharles@example.com,+1-893-329-4630x3057,Chatting with Sales Representative,"(53,)",Yes,/scheduledemo.php,333.08142297049267,Credit Card,Resolved,4
2023,Japan,Kenneth Grimes,yprice@example.com,070-4988-1147,Chatting with Sales Representative,"(11,)",Yes,/scheduledemo.php,496.43664584130806,Credit Card,Pending,7
2024,Germany,Eugene Wong,qjohnson@example.com,+49(0)8563 66409,Chatting with Sales Representative,"(33,)",No,/index.html,228.55531984616468,Debit Card,Resolved,5
2025,UK,Morgan Gonzalez,srios@example.net,(664)223-7087x34990,Software Assistance,"(30,)",Yes,/scheduledemo.php,330.91016086134414,Bank Transfer,Resolved,6
2025,Canada,Nicole Brewer,samanthapowell@example.net,459-488-3359 x580,Inquiring about Events,"(53,)",Yes,/scheduledemo.php,440.24715150074303,Bank Transfer,Resolved,3
2022,Japan,Phillip Carrillo,erobbins@example.com,080-8139-3532,Inquiring about Events,"(44,)",Yes,/index.html,486.1819674352338,Debit Card,Pending,4
2024,Netherlands,Brian Fisher,millersusan@example.net,(625)679-0848,AI-Powered Virtual Assistant,"(26,)",No,/images/events.jpg,424.41774538089925,Debit Card,Failed,6
2024,Zambia,Alan Baker,vegajose@example.org,4283657389,Inquiring about Events,"(57,)",No,/index.html,251.44895270408466,Credit Card,Failed,6
2025,USA,Christine Stevenson,rachelcannon@example.com,001-431-730-1551x38184,AI-Powered Virtual Assistant,"(13,)",Yes,/event.php,394.05326076520885,PayPal,Resolved,4
2023,Australia,Nicholas Melendez,donnaweiss@example.org,+61240021407,Prototyping solutions,"(25,)",Yes,/prototype.php,434.97731992980016,Debit Card,Failed,5
2023,Germany,Jennifer Garcia,amandakennedy@example.org,01097 94064,Scheduled Demo,"(8,)",Yes,/images/events.jpg,497.68930300563625,Bank Transfer,Resolved,7
2023,UK,Carrie Dunn,katkins@example.org,247.577.0387x4649,Software Assistance,"(13,)",No,/event.php,140.038369961839,Bank Transfer,Pending,3
2022,Jamaica,Connie Orr,angel10@example.com,520-286-7054,AI-Powered Virtual Assistant,"(4,)",No,/prototype.php,493.6285777370814,PayPal,Resolved,4
2022,Russia,William Reese,shari15@example.net,+7 (073) 845-84-32,Scheduled Demo,"(6,)",Yes,/images/events.jpg,429.0347798335545,PayPal,Pending,6
