Year,Country,Customer Name,Email,Phone Number,Job Requested,Event Participation,Page Accessed,Sales Revenue,Payment Method,Resolution Status,Satisfaction Rating
2025.0,Spain,Alexandria Heath MD,alam@example.net,(413)951-7693,Scheduled Demo,Yes,/images/events.jpg,3075.94,Debit Card,Pending,1
2025.0,India,Joshua Davis,timothywebster@example.net,+913211438085,Prototyping solutions,No,/scheduledemo.php,9462.68,Debit Card,Resolved,4
2025.0,China,Emily Mcdonald,paul90@example.org,13813943259,Chatting with Sales Representative,No,/prototype.php,4922.08,Debit Card,Pending,3
2024.0,Canada,Matthew Hawkins,orobinson@example.com,(964) 405-7988,Prototyping solutions,Yes,/scheduledemo.php,0.0,Credit Card,Failed,1
2024.0,France,Tracey Williams,curtisjames@example.org,+33 (0)1 70 99 62 48,AI-Powered Virtual Assistant,No,/scheduledemo.php,5298.08,Debit Card,Resolved,5
2025.0,USA,Kayla Shannon,dfitzpatrick@example.com,4142647936,AI-Powered Virtual Assistant,No,/scheduledemo.php,958.43,PayPal,Pending,3
2022.0,France,Daniel Gonzalez,richard60@example.org,01 79 49 77 86,Prototyping solutions,Yes,/index.html,5821.66,PayPal,Resolved,5
2024.0,Russia,Brian Fuller,donaldjones@example.com,8 801 280 62 98,Scheduled Demo,No,/event.php,3835.75,Bank Transfer,Pending,5
2023.0,Japan,Sandra Fitzpatrick,david97@example.com,090-0760-2092,Scheduled Demo,No,/index.html,1200.01,PayPal,Pending,1
2025.0,Spain,Jessica Hawkins,harnold@example.net,999.507.0544,Prototyping solutions,No,/prototype.php,4505.52,Debit Card,Pending,4
2023.0,China,Joseph Holmes,thompsoncory@example.net,13329003710,Prototyping solutions,Yes,/images/events.jpg,3445.8,Debit Card,Resolved,3
2023.0,UK,Kimberly Morrison,justin22@example.com,305-495-8305x770,Chatting with Sales Representative,Yes,/prototype.php,4545.57,Credit Card,Pending,4
2022.0,Canada,Eric Maldonado,zbarry@example.net,(617) 139-7783 x414,Software Assistence,Yes,/index.html,5710.55,Credit Card,Resolved,1
2025.0,Zambia,Cindy Thompson,michael36@example.org,278.480.3104x10370,Chatting with Sales Representative,No,/scheduledemo.php,5043.32,Bank Transfer,Resolved,5
2023.0,Canada,Ryan Harris,jwood@example.com,(805) 010-0208 x400,Scheduled Demo,No,/prototype.php,0.0,Bank Transfer,Failed,4
2022.0,Spain,Matthew Brown,woodardronald@example.com,508-659-8151,Software Assistence,No,/images/events.jpg,2277.48,Credit Card,Pending,5
2024.0,Zambia,Dana Lowe,debbierios@example.org,386-269-2916x1226,AI-Powered Virtual Assistant,Yes,/images/events.jpg,0.0,Credit Card,Failed,3
2025.0,Jamaica,Sharon Lane,james16@example.com,566.623.6627,AI-Powered Virtual Assistant,No,/images/events.jpg,1907.17,PayPal,Resolved,1
2025.0,India,Anthony Poole,brogers@example.net,8559688444,Software Assistence,Yes,/prototype.php,1925.39,PayPal,Pending,3
2022.0,Jamaica,Matthew Hoffman,barnettjohn@example.net,591.848.2155x071,AI-Powered Virtual Assistant,Yes,/prototype.php,0.0,Credit Card,Failed,2
2025.0,UK,Casey Marquez,raymondrichard@example.net,(308)803-3167x5222,AI-Powered Virtual Assistant,Yes,/index.html,3217.33,Bank Transfer,Pending,3
2024.0,USA,Joel Dean,marcus33@example.com,(945)395-9164,AI-Powered Virtual Assistant,Yes,/index.html,1436.07,PayPal,Pending,2
2023.0,Germany,Laurie Mccormick,shawndickerson@example.org,(05375) 51508,AI-Powered Virtual Assistant,No,/scheduledemo.php,0.0,Debit Card,Failed,4
2024.0,Netherlands,Melinda Olson,hailey59@example.net,(855)794-2134x63016,Software Assistence,No,/event.php,8809.91,Debit Card,Resolved,3
2025.0,Portugal,Ashley Gutierrez,carlosburgess@example.net,+1-406-517-9417x95734,Inquiring about events,Yes,/prototype.php,1849.66,Debit Card,Resolved,5
2024.0,Germany,Joseph Peterson,stephanieobrien@example.org,+49(0)0048 138699,Software Assistence,Yes,/prototype.php,0.0,Debit Card,Failed,3
2023.0,Russia,Laura Johnson,sduke@example.com,+7 (814) 240-2867,Chatting with Sales Representative,No,/scheduledemo.php,0.0,Bank Transfer,Failed,4
2022.0,Japan,Pamela Harmon,kingjeffrey@example.com,080-2889-0136,Scheduled Demo,Yes,/prototype.php,1962.86,Debit Card,Pending,3
2023.0,Australia,Daniel Nguyen,daniel58@example.net,0494-141-138,Prototyping solutions,No,/event.php,0.0,Credit Card,Failed,1
2022.0,Russia,Aaron Jones,ularsen@example.org,+7 (283) 850-68-82,Chatting with Sales Representative,Yes,/index.html,0.0,Credit Card,Failed,5
2024.0,Germany,Christopher King,xmckenzie@example.org,04624 73126,Chatting with Sales Representative,No,/images/events.jpg,1892.59,Debit Card,Pending,5
2025.0,Canada,Bradley Brown,teresa17@example.net,160 876 5496,Inquiring about events,Yes,/prototype.php,5998.68,PayPal,Resolved,1
2022.0,USA,Robert Cisneros,hendersonchristy@example.org,001-404-221-1107x60617,Chatting with Sales Representative,No,/prototype.php,0.0,Credit Card,Failed,3
2025.0,Zimbabwe,Jeremy Armstrong,chavezjustin@example.net,701.257.9985,AI-Powered Virtual Assistant,No,/scheduledemo.php,5056.31,Credit Card,Resolved,1
2025.0,Australia,Stacey Palmer,sararussell@example.org,(02)-5895-0369,AI-Powered Virtual Assistant,No,/event.php,1474.42,Bank Transfer,Pending,2
