Year,Country,Customer Name,Email,Phone Number,Job Requested,Response Time,Event Participation,Page Accessed,Sales Revenue,Payment Method,Resolution Status,Satisfaction Rating
2023,Spain,Ronald Jackson,wsullivan@example.net,001-918-397-8314x975,Software Assistence,"(10,)",No,/index.html,7022.97,PayPal,Pending,1
2022,Brazil,Michael Pruitt,dianeray@example.net,51 1543 2885,Chatting with Sales Representative,"(13,)",No,/index.html,3059.75,Credit Card,Failed,5
2022,Australia,Randall Cross,erintaylor@example.com,1414-7743,Inquiring about events,"(51,)",No,/event.php,9565.09,PayPal,Pending,3
2024,Germany,Chase Brennan,curtisclements@example.com,0569444878,Scheduled Demo,"(54,)",No,/prototype.php,9623.38,Credit Card,Failed,4
2025,Australia,Jonathan Thomas,cartergregory@example.org,(08)-0296-2383,Chatting with Sales Representative,"(2,)",Yes,/event.php,9196.35,Debit Card,Pending,5
2024,Russia,James King,mathisbrian@example.com,8 877 420 7975,Chatting with Sales Representative,"(59,)",No,/scheduledemo.php,3448.58,Debit Card,Pending,2
2023,USA,Amber Bautista,jodyryan@example.org,8243134309,Scheduled Demo,"(5,)",No,/index.html,6195.47,Credit Card,Failed,4
2025,India,Matthew Sullivan,reyesmelissa@example.org,05295475238,Prototyping solutions,"(48,)",Yes,/images/events.jpg,6367.8,Credit Card,Resolved,3
2025,Zambia,Kristen Gregory,anthony12@example.org,+1-379-701-8172x29050,Scheduled Demo,"(20,)",No,/prototype.php,2102.18,Bank Transfer,Pending,3
2023,Netherlands,Joseph Turner,andrew24@example.net,213.617.6637x0429,Prototyping solutions,"(59,)",No,/event.php,6475.67,Debit Card,Resolved,2
2022,UK,Kimberly Davis,andreamendoza@example.org,743.388.7587x0758,Chatting with Sales Representative,"(21,)",Yes,/scheduledemo.php,3391.7,Credit Card,Pending,1
2025,UK,Chloe Murillo,justin73@example.com,657.529.0897x7089,Chatting with Sales Representative,"(5,)",No,/index.html,8664.88,Credit Card,Pending,4
2025,Canada,Casey Rivera,emilyolson@example.org,120-034-3511,AI-Powered Virtual Assistant,"(42,)",No,/images/events.jpg,5601.28,Credit Card,Failed,5
2024,Zimbabwe,Yesenia Bates,watsonmason@example.net,4124118387,Chatting with Sales Representative,"(28,)",Yes,/images/events.jpg,9168.93,PayPal,Failed,5
2024,India,Tara Pierce,uhoffman@example.org,2884394647,Scheduled Demo,"(5,)",No,/scheduledemo.php,3237.69,Bank Transfer,Failed,4
2024,Canada,Christina Gill,bbailey@example.com,+1 (661) 916-7574,AI-Powered Virtual Assistant,"(14,)",Yes,/index.html,3213.52,Bank Transfer,Resolved,4
2025,Zambia,Wendy Warren,amy39@example.com,584.665.1236x8669,Software Assistence,"(25,)",No,/index.html,1995.61,Debit Card,Failed,4
2024,India,Michael Atkinson,jonathanjones@example.org,+913894139900,Chatting with Sales Representative,"(60,)",No,/event.php,9644.47,Bank Transfer,Failed,5
2022,Canada,Dr. Brian Cox,osmith@example.net,1-892-641-2053,Chatting with Sales Representative,"(8,)",Yes,/scheduledemo.php,6885.01,Debit Card,Failed,5
2023,Spain,Gabriel Johnson,richardsoncharles@example.com,+1-893-329-4630x3057,Scheduled Demo,"(53,)",No,/scheduledemo.php,4286.06,Credit Card,Resolved,2
2023,Japan,Kenneth Grimes,yprice@example.com,070-4988-1147,Chatting with Sales Representative,"(11,)",No,/scheduledemo.php,8924.25,Credit Card,Pending,5
2024,Germany,Eugene Wong,qjohnson@example.com,+49(0)8563 66409,Prototyping solutions,"(33,)",No,/index.html,5729.21,Debit Card,Resolved,3
2025,UK,Morgan Gonzalez,srios@example.net,(664)223-7087x34990,Chatting with Sales Representative,"(30,)",Yes,/scheduledemo.php,6739.58,Bank Transfer,Failed,4
2025,Canada,Nicole Brewer,samanthapowell@example.net,459-488-3359 x580,Software Assistence,"(53,)",No,/scheduledemo.php,2637.89,Bank Transfer,Pending,1
2022,Japan,Phillip Carrillo,erobbins@example.com,080-8139-3532,Chatting with Sales Representative,"(44,)",Yes,/index.html,1202.79,Debit Card,Resolved,2
2024,Netherlands,Brian Fisher,millersusan@example.net,(625)679-0848,AI-Powered Virtual Assistant,"(26,)",No,/images/events.jpg,7751.61,Debit Card,Resolved,4
2024,Zambia,Alan Baker,vegajose@example.org,4283657389,AI-Powered Virtual Assistant,"(57,)",Yes,/index.html,7205.27,Credit Card,Resolved,4
2025,USA,Christine Stevenson,rachelcannon@example.com,001-431-730-1551x38184,Prototyping solutions,"(13,)",No,/event.php,2942.44,PayPal,Failed,2
2023,Australia,Nicholas Melendez,donnaweiss@example.org,+61240021407,Chatting with Sales Representative,"(25,)",No,/prototype.php,9474.69,Debit Card,Resolved,3
2023,Germany,Jennifer Garcia,amandakennedy@example.org,01097 94064,Inquiring about events,"(8,)",No,/images/events.jpg,2922.51,Bank Transfer,Pending,5
